Code,Parent,Name_en
"11401011","61132","Nursery gardener"
"11401012","61131","Landscape gardener"
"11401013","61132","Tree surgeon"
"11401015","61132","Gardener, tree nursery/fruit-growing"
"11401017","61130","Gardener"
"11401018","61132","Flower gardener/grower"
"11401019","61132","Ornamental plant gardener/grower"
"11401027","61131","Professional gardener"
"11401030","61131","Graveyard gardener"
"11401033","61131","Gardener, city gardening service"
"11401035","61132","Shrub gardener"
"11401036","61132","Potted plant gardener"
"11401037","61131","Gardener, flower gardens"
"11401038","61132","Seed grower"
"11401040","92140","Horticultural labourer"
"11401044","61131","Horticulturist"
"11401046","92140","Market garden employee"
"11401048","92140","Market garden labourer"
"11401051","14200","Head of a garden center"
"11401052","92140","Employee landscape gardening"
"11401058","92140","Landscape gardening labourer"
"11401062","92140","Garden maintenance labourer"
"11401063","92140","Horticulture assistant"
"11401066","13110","Horticultural operations manager"
"11401070","92140","Arborist"
"11401072","61132","Tree maintenance specialist"
"11401089","61130","Chief gardener"
"11401091","61130","Head gardener"
"11401105","61131","Horticulturist, gardening and landscaping"
"11402001","75490","Florist"
"11402003","75490","Flower arranger"
"11402006","92140","Florist assistant"
"11402011","61132","Gardener florist"
"11501009","31430","Head forester"
"11501013","31430","DistrICT forester | District forester"
"11501015","31430","Forest warden"
"11501021","31430","Forester"
"11502001","62100","Forest manager"
"11502002","62100","Lumberjack"
"11502018","92150","Forestry assistant"
"11502019","13110","Forestry entrepreneur"
"11502022","62100","Forest worker"
"11502027","62100","Woodcutter"
"11503002","62240","Hunter"
"11503003","54190","Game warden"
"11503013","54190","Ranger | Rangerin"
"11504002","54190","Fishery officer"
"11504003","92160","Fishing assistant"
"11504006","81601","Fishery labourer"
"11504008","62220","Fisherman | Fisherwoman"
"11504009","75110","Fish filleter"
"21101005","81601","Sterilisation worker (food production industry) | Sterilisation worker (food production indust"
"21101019","94122","Vegetable peeler"
"21102001","75110","Butcher"
"21102003","75110","Pork butcher"
"21102009","94100","Assistant butcher"
"21102038","13210","Head butcher"
"21102040","94100","Butchery labourer"
"21102052","32570","Meat inspector"
"21102053","75110","Meat specialist"
"21102057","13210","Master butcher"
"21103001","75120","Baker"
"21103003","75120","Pastry cook/confectioner"
"21103023","51200","Master patissier"
"21103033","94100","Baker's assistant"
"21103036","75120","Chocolatier"
"21103039","75120","Confectioner"
"21103047","75120","Pastry shop employee"
"21103056","75120","Baker, pastrycook, confectioner"
"21103060","13210","Master baker"
"21103063","13210","Master baker-patissier-confectioner"
"21103064","75120","Patissier-confectioner"
"21103067","13210","Master patissier-confectioner"
"21104002","81601","Food technologist"
"21104022","81601","Chocolate factory worker"
"21104023","81601","Employee in food production"
"21104032","81601","Coffee roaster"
"21104036","81830","Chocolate packer"
"21104037","81830","Food packer"
"21104046","81601","Dough maker"
"21105001","75130","Cheesemaker"
"21105009","13210","Master cheesemaker"
"21105010","94100","Assistant cheesemaker"
"21105011","13210","Cheese dairy manager"
"21105012","75130","Cheese dairy employee"
"21105015","32570","Milk inspector"
"21105017","61211","Alpine herdsman and dairyman"
"21105018","75130","Dairy technologist"
"21105038","75130","Dairy employee"
"21105053","75130","Milk technologist"
"21106002","81601","Miller"
"21106003","81601","Animal feed miller"
"21106020","81601","Mill employee"
"21106029","81601","Mill technician"
"21107005","32570","Food inspector"
"21107024","81601","Food industry employee"
"21107027","81601","Food labourer"
"21201001","81601","Maltster"
"21201003","81601","Brewer"
"21201004","81601","Brewer and maltster"
"21201025","13210","Master brewer"
"21201027","81601","Ale-brewer"
"21202003","81601","Distiller"
"21202005","81601","Spirits distiller"
"21202014","21320","Oenologist"
"21202022","81601","Applejuice and cider maker"
"21202024","81601","Beverage technologist"
"21202025","21320","Chief oenologist"
"21202034","81601","Cider-making plant operator"
"21202038","81602","Wine technologist"
"21203011","96210","Drinks deliverer"
"21301011","81601","Tobacco processing machine operator"
"21301012","75160","Tobacco specialist"
"21301013","81601","Tobacco industry employee"
"21301016","81601","Cigarette machine operator"
"21401003","75150","Wine taster"
"21401007","75150","Taster"
"22101038","81510","Spinner"
"22101077","81510","Textile carder"
"22101128","81510","Thread spooler"
"22101129","81510","Doubling mill operator"
"22101132","81510","Spinning mill operator"
"22101159","81510","Bobbin/yarn spooler"
"22102007","73180","Manual weaver"
"22102016","73180","Knitter"
"22102030","31220","Weaver (master craftsman)"
"22102084","81520","Weaver"
"22102144","73180","Carpet weaver"
"22102170","81520","Knitting machine operator"
"22102187","75430","Fabrics inspector"
"22102194","93290","Weaving mill employee"
"22102237","75330","Embroidery worker"
"22102239","81520","Shearer"
"22102242","73180","Textile weaving designer"
"22103002","81540","Textile finisher"
"22103004","81540","Dyeing mill operator"
"22103014","81540","Dyer (textile)"
"22103032","81540","Linen bleacher"
"22103118","81540","Textile dyer"
"22103125","13210","Dyeing mill manager"
"22104001","93290","Textile worker"
"22104003","93290","Textile consultant"
"22104014","81510","Ropemaker"
"22104015","75300","Textile expert"
"22104025","13210","Production manager, textiles"
"22104029","75430","Textile inspector"
"22104032","13210","Textile master"
"22104034","81500","Skilled worker (textile)"
"22201004","75310","Dressmaker"
"22201006","75310","Tailor | Tailoress"
"22201007","75310","Ladies' and men's tailor | Ladies' and men's tailoress"
"22201012","75310","Lady's tailor"
"22201013","75310","Men's tailor | Men's tailoress"
"22201033","75320","Garment cutter"
"22201040","75310","Traditional costume tailor | Traditional costume tailoress"
"22201043","75310","Theatrical tailor | Theatrical tailoress"
"22201059","75310","Industrial tailor | Industrial tailoress"
"22201066","75320","Textile cutter"
"22201070","13210","Master tailor"
"22201075","75310","Clothing designer"
"22202013","75330","Sewer (textile)"
"22202021","75330","Traditional costume sewer"
"22202037","75330","Curtain sewer"
"22202040","75330","Blinds sewer"
"22202062","75330","Sewer"
"22202063","75330","Seamstress"
"22202087","75330","Ready-to-wear clothing worker"
"22202090","75330","Industrial sewer"
"22202096","75330","Clothing sewer"
"22203001","75330","Embroiderer"
"22204001","75310","Hatter"
"22204005","75310","Milliner"
"22204007","75310","Modiste"
"22204010","75330","Umbrella maker"
"22204049","81520","Sailmaker"
"22204063","81590","Bedding maker"
"22204066","75330","Lampshade sewer"
"22204072","73180","Carpet sewer"
"22204100","52230","Fashion consultant"
"22301003","75350","Tanner"
"22302003","75360","Shoemaker"
"22302007","75360","Cobbler"
"22302017","75360","Orthopaedic shoemaker"
"22302079","75360","Shoe technologist"
"22302082","13210","Master shoemaker"
"22302137","75360","Bootmaker"
"22303002","75340","Vehicle upholsterer"
"22303003","75340","Car upholsterer"
"22303005","75340","Airplane upholsterer"
"22303008","75360","Saddler"
"22303025","75340","Upholsterer"
"22303032","75340","Furniture upholsterer"
"22303040","13210","Master saddler"
"22303053","75360","Equestrian saddler"
"22303055","75340","Specialist upholsterer"
"22304009","81430","Leather case maker"
"22304012","75360","Fine leather craftsman"
"22305001","75310","Furrier"
"22305009","75310","Pelt sewer"
"23101001","71121","Bricklayer"
"23101026","31231","Construction team leader"
"23101027","31231","Bricklayer, foreman"
"23101032","13231","Master bricklayer"
"23101033","71140","Construction cutter"
"23102018","71140","Formworker"
"23102019","71140","Concrete placer"
"23102024","93131","Concrete mixer"
"23102026","71140","Reinforcing iron and rebar worker"
"23102033","71140","Concrete cutter"
"23102035","31121","Construction materials testing specialist"
"23103003","71151","Carpenter"
"23103014","71151","Stair builder"
"23103027","31232","Carpenter, foreman"
"23103028","13232","Master carpenter"
"23104010","83421","Road construction worker"
"23104018","31231","Road construction foreman"
"23104024","93120","Road mender"
"23104025","31231","Roadmending foreman"
"23104027","93120","Road maintenance worker"
"23104030","31231","Head road mender"
"23104039","93120","Asphalt mixer"
"23105002","83421","Paver"
"23105008","83421","Road paving worker"
"23106001","83421","Miner (tunnel construction)"
"23106009","75420","Blaster"
"23106013","83421","Drill master"
"23106018","83421","Driller"
"23106019","83421","Tunnel construction worker"
"23106024","75420","Blasting specialist"
"23106026","93120","Tunnel labourer"
"23106030","31210","Mine foreman | Mine forewoman"
"23107002","83421","Foundation worker"
"23107005","71263","Well sinker"
"23107018","71241","Building envelope builder"
"23107021","71241","Facade builder"
"23107023","83421","Foundation builder"
"23107024","31231","Civil engineering foreman"
"23107025","31231","Scaffolding foreman"
"23107029","71190","Scaffold erector"
"23107033","31231","Construction foreman"
"23107042","93131","Construction labourer"
"23107043","93131","Construction handyman"
"23107048","93131","Bricklayer's labourer"
"23107050","93120","Civil engineering labourers"
"23107053","93131","Building worker"
"23107055","93131","Labourer on a building site"
"23107057","31121","Construction expert"
"23107059","31121","Construction consultant"
"23107066","71190","Building restorer"
"23201003","71220","Floor layer"
"23201005","71220","Parquet layer"
"23201011","71220","Layer of synthetic flooring"
"23201012","71220","Carpet layer"
"23201020","71220","Parquetry worker"
"23201028","71220","Parquetry layer"
"23201033","71220","Wooden floor fitter"
"23201036","71220","Floor tiler"
"23201039","71220","Terrazzo floor layer"
"23201045","13232","Master floor layer"
"23201048","13232","Master floor tiler"
"23201051","31232","Flooring installation manager"
"23201054","71220","Underlay layer"
"23201055","71121","Industrial flooring and subflooring worker"
"23201062","71220","Floorer, parquet"
"23202001","71210","Roofer"
"23202004","71210","Slater"
"23202011","71210","Metal roofing installer"
"23202018","13232","Master roofer"
"23202019","31232","Roofing foreman"
"23203017","71230","Stuccoer"
"23203018","71230","Plasterer"
"23203021","31232","Foreman, plasterer"
"23203024","71230","Stucco worker"
"23203026","13232","Master plasterer"
"23203036","31232","Plastering foreman | Plastering forewoman"
"23204001","71310","House painter"
"23204004","71310","Painter"
"23204020","13232","Paint shop owner"
"23204022","13232","Painting entrepreneur"
"23204025","31232","Painter foreman"
"23204031","71310","Paint mixer"
"23204036","71310","Painter-decorator"
"23204039","71310","Paperhanger"
"23204044","71320","Industrial painter"
"23204046","13232","Master painter"
"23205001","31183","Heating planner"
"23205002","31122","Ventilation technician"
"23205003","31122","Heat technician"
"23205004","31122","Heating technician"
"23205005","31183","Ventilation planner"
"23205008","31122","Central heating technician"
"23205009","71271","Ventilation fitter"
"23205010","71261","Oil fired heating installer"
"23205011","71261","Heating fitter"
"23205014","71261","Heating expert"
"23205015","71261","Central heating system installer"
"23205016","71261","Heating system installer"
"23205018","71271","Ventilation system installer"
"23205019","71261","Central heating fitter"
"23205025","71272","Refrigeration system installer"
"23205026","71261","Oil fired heating expert"
"23205028","71261","Heating systems repairman | Heating systems repairwoman"
"23205029","71261","Oil fired heating specialist"
"23205037","71272","Air conditioning fitter"
"23205038","71272","Air conditioning installer"
"23205039","71272","Refrigeration system fitter"
"23205040","71272","Cooling system fitter"
"23205044","71261","House automation installer (heating)"
"23205050","71261","Heating systems expert"
"23205051","71261","Heating inspector"
"23206002","71262","Tinsmith"
"23206006","71263","Plumber/sanitary installer"
"23206017","31232","Plumbing foreman"
"23206018","71262","Construction plumber"
"23206019","71262","Construction plumber/sanitary installer"
"23207001","71241","Insulation worker, sound-proofing"
"23207002","71241","Building insulator"
"23207004","71240","Insulation installer"
"23207007","71241","Noise insulation fitter"
"23207008","71241","Insulation worker, refrigeration equipment"
"23207014","71242","Insulation worker, air-conditioning equipment | Insulation worker, air-conditioning equipmen"
"23207017","71242","Insulation worker, pipe"
"23207020","93132","Insulation worker"
"23207026","71241","Joint sealer"
"23207027","71241","Building lagger"
"23207029","71241","Building insulation installer"
"23207030","71242","Insulating plumber"
"23207035","71241","Insulation fitter"
"23207036","71241","Joint sealing specialist"
"23207037","71241","Joint insulation worker"
"23207042","71241","Flat roof insulation installer"
"23208002","71122","Stove fitter"
"23208009","71122","Oven manufacturer"
"23208010","71122","Fireplace builder"
"23208013","71122","Chimney builder"
"23208014","71122","Fireplace fitter"
"23208016","71122","Stove fitter/tiler"
"23208020","13232","Master stove fitter"
"23209004","71250","Mirror manufacturer"
"23209005","13232","Master glazier"
"23209006","71250","Glazier"
"23209016","73150","Glass cutter"
"23209018","71250","Glazier/mirror manufacturer"
"23209023","71250","Glass fitter"
"23209033","31122","Glass construction expert"
"23210003","74120","Qualified electrician"
"23210004","74120","Lift installer"
"23210008","74110","Neon lighting installer"
"23210009","74110","Meter fitter"
"23210012","74120","Electrical machinery fitter"
"23210019","74120","Lift repairman | Lift repairwoman"
"23210020","74120","Switchboard fitter"
"23210021","74110","Construction electrician"
"23210027","74120","In-house electrician"
"23210033","74110","Electrician"
"23210034","74110","Electrical fitter"
"23210038","31232","Electrical foreman | Electrical forewoman"
"23210039","31232","Electrical construction superviser"
"23210041","74120","In-house electrical fitter"
"23210042","74110","Electrical installer"
"23210044","74110","Electrical installations inspector"
"23210046","74120","Elevator repairer"
"23210051","74120","Elevator installer"
"23211001","71263","Sanitary installations fitter"
"23211003","71263","Gas and water fitter"
"23211004","71263","Sanitary plumber"
"23211011","71263","Gas fitter"
"23211016","71263","Water installer"
"23211020","71263","Sanitary installations worker"
"23211025","31122","Sanitation technician"
"23211026","31122","Sanitary installation technician"
"23211028","71263","Sanitary consultant"
"23212001","71100","Building trade worker"
"23212003","71153","Blind fitter"
"23212004","71153","Blind and roller blind fitter"
"23212012","71153","Roller blind fitter"
"23212013","71153","Window fitter"
"23212025","71153","Blinds manufacturer"
"23212026","72140","Roller blind repairman | Roller blind repairwoman"
"23212027","71241","Facade specialist"
"23212032","71210","Ceiling fitter"
"23212034","93132","Facade worker"
"23212035","71190","Renovator"
"23212036","71153","Partition fitter"
"23212037","71190","Conservatory builder"
"23212038","71190","Conservatory fitter"
"24101004","81110","Miner"
"24101007","93110","Pit worker"
"24101011","81130","Mining driller"
"24102004","81110","Quarry-worker"
"24102008","83421","Drilling specialist"
"24102014","13220","Quarry manager"
"24102016","93110","Quarry worker"
"24103010","93110","Gravel plant worker"
"24103011","93110","Gravel pit worker"
"24103014","13220","Gravel pit manager"
"24103029","81120","Plaster miller"
"24103039","81120","Stone grinder"
"24103040","81120","Salter"
"24103051","81110","Gravel plant engineer"
"24201001","71130","Building stone cutter"
"24201031","71130","Stone cutter"
"24201035","71130","Natural stone cutter"
"24201039","71130","Stone carver"
"24202002","71130","Stone polisher"
"24202014","71130","Stone miller (shaper)"
"24202025","71130","Circular stone grinder"
"24202039","71140","Concrete driller"
"24301002","81810","Brickworks labourer"
"24302004","81140","Artificial stone manufacturer"
"24302007","81140","Gypsum moulder"
"24302028","81140","Artificial stone worker"
"24302036","81140","Cement worker"
"24302064","81140","Cement producer"
"24401002","73150","Glassmaker"
"24401018","73150","Glass worker"
"24401037","73150","Neon glass blower"
"24401064","73150","Glass blower"
"24402001","75490","Optics technician"
"24402010","75490","Eyeglass lens"
"24402017","75490","Optical lens moulder"
"24403005","73150","Glass grinder"
"24403015","73112","Watch glass grinder"
"24403031","75430","Glass inspector"
"24403032","93290","Glass factory worker"
"24403035","81810","Fibreglass worker"
"24403046","73150","Glass cleaner"
"24403049","93290","Watch glass factory worker"
"24404005","81810","Porcelain worker"
"24404026","81810","Ceramics worker"
"24404041","73140","Ceramic modeller"
"24404043","81810","Industrial ceramist"
"24404049","73140","Ceramic caster"
"24404081","81810","Architectural ceramist"
"25101012","81210","Metal smelter"
"25101014","81210","Precious metal smelter"
"25102001","81210","Metal caster"
"25102002","81210","Foundry technologist"
"25102014","81210","Aluminium founder"
"25102030","81210","Die caster"
"25102033","81210","Foundry worker"
"25102035","31220","Casting foreman"
"25102038","31220","Master founder"
"25102039","81210","Founder"
"25102052","81210","Pressure caster"
"25102057","81210","Tin caster"
"25102058","81210","Casting technician"
"25103001","72110","Coremaker"
"25103003","72110","Metal casting moulder"
"25103034","72110","Die maker"
"25103048","72110","Patternmaker (casting)"
"25104008","81220","Casting cleaner"
"25104010","91290","Compressed air cleaning technician"
"25104017","81210","Ironworker"
"25104021","81210","Aluminum worker"
"25104024","81220","Deburrer"
"25201004","81210","Hardener (metal processing)"
"25201015","81210","Wire drawer"
"25201031","81210","Roller (metal processing)"
"25201063","31350","Foreman, hardening shop | Forewoman, hardening shop"
"25201069","72150","Cable strander"
"25201070","31350","Master wire drawer"
"25201079","81210","Metalworking machine operator"
"25201082","93290","Needle maker"
"25201083","72150","Wire drawing labourer"
"25201091","81210","Rolling mill worker"
"25201096","72230","Steel nail maker"
"25201103","72150","Cable production worker"
"25202005","81220","Zinc plater"
"25202006","81220","Tin plater"
"25202009","93290","Electroplating worker"
"25202011","81220","Electroplater"
"25202013","81220","Galvanizer"
"25202016","81220","Chrome plater"
"25202022","81220","Metal refiner"
"25202023","81220","Metal finisher"
"25202025","81220","Surface treater"
"25202026","81220","Anodizer"
"25202035","71320","Enameller"
"25202070","81220","Hot-dip galvanizer"
"25202071","31220","Master galvanizer"
"25202076","81210","Surface technologist (metal refining)"
"25203003","72240","Sharpener"
"25203008","72240","Tool sharpener"
"25203010","72240","Knife grinder"
"25203013","72240","Tool grinder"
"25203018","72240","Metal sharpener"
"25203022","72240","Metal grinder and polisher"
"25203026","72240","Scissor grinder"
"25203027","72240","Knife sharpener"
"25203043","72240","Roll grinder"
"25203044","72240","Precision grinder"
"25203048","72240","Metal grinder"
"25203061","72240","Metal polisher"
"25203073","72240","Profile grinder"
"25203074","72240","Cylindrical grinding operator"
"25203082","72240","Cnc grinder"
"25203089","72240","Metalworker, grinder"
"25203095","72240","Grinder (metal)"
"25203097","72240","Cylinder grinder"
"25203098","72240","Flat grinder"
"25204001","72230","Machine tool setter and operator"
"25204002","72230","Machine tool setter and operator, turning machine | Machine tool setter and operator, turning ma"
"25204003","72230","Machine tool setter and operator, milling machine | Machine tool setter and operator, milling ma"
"25204004","72230","Machine tool setter and operator, grinding machine | Machine tool setter and operator, grinding m"
"25204005","72230","Machine tool operator"
"25205002","72230","Milling machine operator"
"25205006","72230","Miller (milling machine operator)"
"25205029","72230","Metal miller (metal milling machine operator) | Metal miller (metal milling machine operator"
"25205033","72230","Planer"
"25205040","72230","Cnc miller"
"25205054","72230","Nc miller"
"25206011","72230","Metal borer"
"25206012","72230","Cnc borer"
"25206013","72230","Reaming appliance setter"
"25206014","72230","Reaming appliance turner"
"25206017","72230","Boring machine setter"
"25207001","72230","Turner"
"25207009","72230","Automatic lathe turner"
"25207030","72230","Metal turner"
"25207035","72230","Cnc turner"
"25207039","72230","Metal lathe operator"
"25207040","72230","Machine turner"
"25207041","72230","Metalworker, turner"
"25207042","72230","Lathe setter"
"25208019","72230","Automatic lathe operator"
"25209003","72230","Stamper"
"25209004","72230","Metal stamper"
"25209015","72230","Punching machine setter"
"25209020","72230","Engraver"
"25209028","72230","Machine setter"
"25209030","72230","Machine tool setter"
"25209031","72230","Automatic lathe setter"
"25209033","72230","Setter (adjuster)"
"25209046","81200","Metalworker"
"25209049","72230","Metal sawyer"
"25209057","72230","Industrial engraver"
"25209071","72230","Cnc setter"
"25209072","72230","Metal engraver"
"25209073","72230","Steel engraver"
"25209083","81200","Metalworker (metal treatment)"
"25209100","72230","Iron cutter"
"25209101","72230","Metal cutter"
"25301001","72120","Metal welder"
"25301007","72120","Electro-welder"
"25301008","72120","Electro-solderer"
"25301012","31220","Master welder"
"25301015","72120","Welder"
"25301027","72120","Aluminium welder"
"25301033","72120","Steel construction welder"
"25301037","72120","Metal solderer"
"25301039","72120","Rail welder"
"25301040","72120","Pipe welder"
"25301045","72120","Spot welder"
"25301050","72120","Electronic welder"
"25301055","72120","Industrial welder"
"25301066","72120","Solderer"
"25301072","72120","Welding specialist"
"25302001","72140","Riveter"
"25303001","74120","Apparatus fitter"
"25303008","72101","Apparatus maker"
"25303009","72101","Machinery and equipment maker"
"25303010","72130","Large apparatus fitter"
"25303011","72101","Plastic apparatus fitter"
"25303016","72101","Industrial plant fitter"
"25303017","74120","Apparatus installer"
"25304001","72130","Industrial plumber"
"25304003","72130","Apparatus plumber"
"25304026","71263","Plumber (sanitary facilities)"
"25305002","72130","Coppersmith"
"25305003","72210","Ironsmith"
"25305004","72210","Smith"
"25305006","72210","Hammersmith"
"25305008","72220","Cutler"
"25305016","72210","Armourer"
"25305026","72210","Drop-forger"
"25305034","72210","Smith, building industry"
"25305048","72130","Whitesmith"
"25305062","72210","Blacksmith/wainwright"
"25305072","72210","Blacksmith-farrier"
"25305078","72210","Smith-farrier"
"25305085","72210","Blacksmith, industry"
"25305086","13210","Master smith"
"25305088","13210","Master blacksmith"
"25306001","72140","Erector, structural metal"
"25306002","72140","Structural metal worker"
"25306005","72140","Structural steel worker"
"25306009","13232","Master building fitter"
"25306013","72140","Building fitter"
"25306025","72140","Metal structure fitter"
"25306029","13232","Master metal structure fitter"
"25307002","72140","Metal constructions fitter"
"25307004","72140","Iron constructions fitter"
"25307008","72140","Iron construction fitter"
"25308017","71262","Pipe fitter"
"25308019","72220","Chrome steel fitter"
"25308020","72220","Locksmith"
"25308022","13210","Master locksmith"
"25308028","71140","Iron bender"
"25308033","72220","Key maker"
"25308042","72140","Fitter (metalworking)"
"25308043","72220","Fitter-metalworker"
"25308046","72130","Sheet metal worker"
"25308047","72220","Metalworker-locksmith"
"25308048","72330","Plastics fitter"
"25308057","72130","Pipe bender"
"25308067","72130","Sheet metal bender"
"25309016","72200","Aluminium processing worker"
"25309039","72140","Metalworker (metal processing)"
"25309054","72210","Metal spinner"
"25309073","72210","Sheet metal treater"
"25401001","72220","Toolmaker"
"25401013","72220","Mechanic/toolmaker"
"25401014","72001","Cnc mechanic"
"25401015","72001","Mechanic"
"25401020","72001","Machinery mechanic"
"25401024","72330","Machine tool mechanic"
"25401025","72310","Tank mechanic"
"25401028","72220","Toolmaker/machine operator"
"25401029","73210","Stamp maker"
"25401041","81000","Machine operator"
"25401051","74210","Machinery mechanic, electrical engineering"
"25401052","13210","Master mechanic"
"25401053","72300","Prototype mechanic"
"25401055","72220","Master toolmaker"
"25401057","72001","Cnc machinery mechanic"
"25401058","72230","Cnc machine operator"
"25402003","73113","Mechanic, small mechanical products"
"25402006","73113","Micromechanic"
"25402007","73113","High-precision mechanic"
"25402008","73113","Microassembler"
"25402030","73113","Surgical instrument maker"
"25402031","73113","Precision mechanic"
"25402033","73113","Hearing aids mechanic"
"25403001","82110","Machine assembler"
"25403002","72330","Machine assembly inspector"
"25403003","82190","Pump constructor"
"25403004","72330","Machinery mechanic, assembling"
"25403011","82110","Engine constructor"
"25403014","72330","Millwright"
"25403015","72330","Engine fitter"
"25403016","82110","Textile machine assembler"
"25403019","82110","Engine assembler"
"25403023","82110","Precision assembler"
